address,zip,price,daysOnZillow,detailUrl,homeType,isBuilding,statusText
"301 Dickenson St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-patent-at-jeffrey-park/CkQ7LK/,,True,The Patent at Jeffrey Park
"1314 City View Dr, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-michael-at-gvx/CBPY3Y/,,True,The Michael at GVX
"155 E Broad St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/preston-centre/CkCjqn/,,True,Preston Centre
"20 E Hubbard Ave, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-hub/5hHZTs/,,True,The Hub
"Topiary Park Crossing, 497 E Town St #1-317, Columbus, OH 43215",43215,1710,14,https://www.zillow.com/apartments/columbus-oh/topiary-park-crossing/CgLFkh/,APARTMENT,,Apartment for rent
"70 N High St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-madison/CkBRcy/,,True,The Madison
"Nazareth Towers Senior Apartments - 62+, 300 E Rich St #45f5ee149, Columbus, OH 43215",43215,350,455,https://www.zillow.com/apartments/columbus-oh/nazareth-towers-senior-apartments-62+/CjgvRt/,APARTMENT,,Apartment for rent
"250 Liberty St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/liberty-place-apartments/5XqH4w/,,True,Liberty Place Apartments
"644 Chlois Ln, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-reach-on-goodale/CkBN9q/,,True,The Reach on Goodale
"680 Civitas Ave, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-sage-at-jeffrey-park/CkCWf5/,,True,The Sage at Jeffrey Park
"223 E Town St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/223-e-town/CjjCPJ/,,True,223 E Town
"265 E State St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/xander-on-state/CgKVcC/,,True,Xander on State
"501 W Broad St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/green-house-columbus/CqXrZp/,,True,Green House Columbus
"230 E Long St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/industry-columbus-apartments/CkB97c/,,True,Industry Columbus Apartments
"727 N 4th St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/wonder-bread-lofts/CkBMTX/,,True,Wonder Bread Lofts
"303 S Front St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/303-front-st/CmPfLb/,,True,303 Front St
"440 Alexandria Colony St S, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/alexandria-colony-apartments/CkCM9S/,,True,Alexandria Colony Apartments
"209 S High St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/lc-riversouth/CgpHwV/,,True,LC RiverSouth
"875 Michigan Ave, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/875-michigan-ave/Cknr5y/,,True,875 Michigan Ave
"150 E Gay St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/continental-tower/Cmp9FV/,,True,Continental Tower
"411 E Buttles Ave, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/new-yorker/Crmrn2/,,True,New Yorker
"789 Dennison Ave, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-dennison/Cm6XK3/,,True,The Dennison
"195 E Broad St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/the-pembroke/CkQ7hF/,,True,The Pembroke
"770 Thurber Dr E, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/park-monroe/CnhWTz/,,True,Park Monroe
"122 Parsons Ave, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/yardley-apartments/Cjj9vh/,,True,Yardley Apartments
"773 Waldron St, Columbus, OH",43215,,,https://www.zillow.com/apartments/columbus-oh/legacy-at-jeffrey-park/CjhB6M/,,True,Legacy at Jeffrey Park
"605 Oak St, Columbus, OH 43215",43215,1850,14,https://www.zillow.com/homedetails/605-Oak-St-Columbus-OH-43215/440047301_zpid/,APARTMENT,,Apartment for rent
"3688 Brinell St, Columbus, OH",43214,,,https://www.zillow.com/apartments/columbus-oh/the-ave/CjfFd2/,,True,The Ave
"4765 Blairfield Dr, Columbus, OH",43214,,,https://www.zillow.com/apartments/columbus-oh/the-commons-at-olentangy/5Xt97n/,,True,The Commons At Olentangy
"5001 Olentangy River Rd, Columbus, OH",43214,,,https://www.zillow.com/apartments/columbus-oh/taylor-house/5wqPWF/,,True,Taylor House
"3450 Indianola Ave, Columbus, OH",43214,,,https://www.zillow.com/apartments/columbus-oh/the-deco-apartments/CkCWBp/,,True,The Deco Apartments
"Olentangy Terrace, 4577 Olentangy River Rd #32baa783b, Columbus, OH 43214",43214,1349,2,https://www.zillow.com/apartments/columbus-oh/olentangy-terrace/CkBXdR/,APARTMENT,,Apartment for rent
"Madison Park, 4515 Desantis Ct #114D4515, Columbus, OH 43214",43214,1709,34,https://www.zillow.com/apartments/columbus-oh/madison-park/5Xt8w9/,APARTMENT,,Apartment for rent
"39 Sunnyside Ln, Columbus, OH 43214",43214,1600,17,https://www.zillow.com/homedetails/39-Sunnyside-Ln-Columbus-OH-43214/2118508831_zpid/,SINGLE_FAMILY,,House for rent
