city,title,rent,gross_revenue,net_spread_after_ops,verdict,status,address,zip,beds,property_type,furnished,contact_method,contact_name,contact_email,contact_phone,contact_url,blocker,market_adr,market_occ,market_score,premium_factor,adj_occ,url,outreach_message
"Jacksonville, FL",Fully Furnished 3BR/2BA Home | Fenced Yard | Pets Welcome | Utilities In,,,,pass,screened_out,,,,,,unavailable,,,,,Posting deleted by author,132,0.56,94,1.0,0.56,https://www.craigslist.org/view/d/jacksonville-fully-furnished-3br-2ba/BDBnWxuR8RGqW7SXkgo5rg,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your property at Fully Furnished 3BR/2BA Home | Fenced Yard | Pets Welcome | Utilities In. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Virginia Beach, VA",5 bedroom available 2 minutes from the beach !!,3400,11633,6484,take,qualified,"Virginia Beach beachfront area, 2 blocks from ocean/boardwalk",,5BR / 2.5Ba / 3200ft²,house,furnished,unavailable,,,,,hCaptcha on reply,406,0.54,59,1.18,0.57,https://www.craigslist.org/view/d/virginia-beach-bedroom-available/wrbjPkAECU2K9yjPHPGhe5,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Virginia Beach beachfront area, 2 blocks from ocean/boardwalk. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Virginia Beach, VA",Short term rental available till December,3100,10158,5628,take,qualified,Virginia Beach beach/boardwalk area,,4BR / 2.5Ba / 4000ft²,house,furnished,unavailable,,,,,hCaptcha on reply,406,0.54,59,1.18,0.57,https://www.craigslist.org/view/d/virginia-beach-short-term-rental/ddmek9Mmxc8xZmhBePUSyx,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Virginia Beach beach/boardwalk area. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Scottsdale, AZ",Stylish and spacious 3BR/2BA townhome near Old Town Scottsdale,3250,8927,4634,take,qualified,"4133 N 78th Way, Scottsdale",85251,3BR / 2Ba / 1773ft²,townhouse,furnished,turbotenant,,,,https://rental.turbotenant.com/p/4133-n-78th-way-scottsdale-az/92149beb-c5ea-4c61-bd27-99762188726b?source=craigslist,,389,0.59,62,1.14,0.61,https://www.craigslist.org/view/d/scottsdale-stylish-and-spacious-3br-2ba/ihl8njh_8RGOCr3M6rCRQw,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your townhouse at 4133 N 78th Way, Scottsdale. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Phoenix, AZ",House for Lease (Biltmore/Camel Back),2680,5442,1624,negotiate,qualified,"Biltmore/Camelback area, Phoenix",,4BR / 2Ba / 1700ft²,house,furnished,unavailable,,,,,reply path blocked / likely hCaptcha,212,0.58,69,1.15,0.6,https://www.craigslist.org/view/d/phoenix-house-for-lease/phEYUjAu7L7EK6XGiB9Tib,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Biltmore/Camelback area, Phoenix. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Henderson, NV","Furnished Henderson, Nv home for rent $2500",2500,4761,1343,pass,qualified,Henderson near Liberty HS area,,3BR / 3Ba / 1806ft²,house,furnished,unavailable,Silvia Miller,,,,Phone hidden behind hCaptcha after show contact info,229,0.63,83,1.0,0.63,https://www.craigslist.org/view/d/henderson-furnished-henderson-nv-home/c1wxHAjoW6bcVi6x3fQsBA,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Henderson near Liberty HS area. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Saint Petersburg, FL",Furnished 3 BEDROOMS 2.5 BATH with a garage townhouse! Welcome home,2950,5062,1185,negotiate,qualified,"608 Black Lion Dr NE, Saint Petersburg",33716,3BR / 2.5Ba / 1490ft²,townhouse,furnished,turbotenant,,,,https://rental.turbotenant.com/p/608-black-lion-dr-ne-saint-petersburg-fl/e3578027-ff77-4259-ba3e-65438d7d4e80?source=craigslist,,260,0.59,77,1.0,0.59,https://www.craigslist.org/view/d/saint-petersburg-furnished-bedrooms-25/CATZJ-6O8RGDm7QrAimHNQ,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your townhouse at 608 Black Lion Dr NE, Saint Petersburg. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Phoenix, AZ",Historic Furnished Home – 2bed/1 bath – Midtown Phoenix,2150,3850,1009,pass,qualified,"Whitton Neighborhood, Midtown Phoenix",,2BR / 1Ba / 850ft²,house,furnished,unavailable,,,,,reply path blocked / likely hCaptcha,212,0.58,69,1.08,0.59,https://www.craigslist.org/view/d/phoenix-historic-furnished-home-2bed/6YJGYjo4QHneySmyiYmLbf,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Whitton Neighborhood, Midtown Phoenix. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Phoenix, AZ",Smart & Modern Townhome,2250,3504,574,pass,qualified,"3944 E Earll Dr Unit 2, Phoenix",85018,2BR / 1Ba / 813ft²,townhouse,furnished,turbotenant,,,,https://rental.turbotenant.com/p/3944-e-earll-dr-phoenix-az-unit-2/be1ff78a-8bad-4d61-bc99-5fdd135b6d7c?source=craigslist,,212,0.58,69,1.0,0.58,https://www.craigslist.org/view/d/phoenix-smart-modern-townhome/7AdJsruO8RGdOZI0fAUsWQ,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your townhouse at 3944 E Earll Dr Unit 2, Phoenix. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Tempe, AZ",Comfortable Family House / Centrally Located,2450,3482,153,pass,qualified,"Guadalupe Rd. near Avenida Del Yaqui, Tempe",85283,3BR / 2Ba,house,furnished or unfurnished negotiable,message_only,,,,,No direct email/phone surfaced on listing,173,0.61,64,1.0,0.61,https://www.craigslist.org/view/d/tempe-comfortable-family-house/sMDg9Z3RRZhz9ujR2SG6rn,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Guadalupe Rd. near Avenida Del Yaqui, Tempe. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
