city,property,type,beds,zip,zip_match,rent,rev_cons,spread_cons,rev_mod,spread_mod,rev_opt,spread_opt,verdict,url
"Virginia Beach, VA",5 bedroom available 2 minutes from the beach !!,SFH,5BR/2.5BA,not shown,fallback,3400,5445,2045,7200,3800,9360,5960,take,https://www.craigslist.org/view/d/virginia-beach-bedroom-available/wrbjPkAECU2K9yjPHPGhe5
"Virginia Beach, VA",Short term rental available till December,SFH,4BR/2.5BA,not shown,fallback,3100,4950,1850,6480,3380,8385,5285,take,https://www.craigslist.org/view/d/virginia-beach-short-term-rental/ddmek9Mmxc8xZmhBePUSyx
"Phoenix, AZ",House for Lease (Biltmore/Camel Back),SFH,4BR/2BA,~85016,adjacent,2680,3960,1280,5400,2720,7410,4730,take,https://www.craigslist.org/view/d/phoenix-house-for-lease/phEYUjAu7L7EK6XGiB9Tib
"Tempe, AZ",Comfortable Family House / Centrally Located,SFH,3BR/2BA,85283,fallback,2450,3465,1015,4500,2050,5850,3400,take,https://www.craigslist.org/view/d/tempe-comfortable-family-house/sMDg9Z3RRZhz9ujR2SG6rn
"Phoenix, AZ",Historic Furnished Home – 2bed/1 bath – Midtown Phoenix,SFH,2BR/1BA,~85006,likely target/adjacent,2150,2970,820,4050,1900,5265,3115,take,https://www.craigslist.org/view/d/phoenix-historic-furnished-home-2bed/6YJGYjo4QHneySmyiYmLbf
"Phoenix, AZ",Smart & Modern Townhome,Townhome,2BR/1BA,85018,adjacent,2250,3135,885,4140,1890,5362,3112,take,https://www.craigslist.org/view/d/phoenix-smart-modern-townhome/7AdJsruO8RGdOZI0fAUsWQ
"Henderson, NV","Furnished Henderson, Nv home for rent $2500",SFH,3BR/3BA,~89002,fallback,2500,3135,635,4320,1820,5655,3155,take,https://www.craigslist.org/view/d/henderson-furnished-henderson-nv-home/c1wxHAjoW6bcVi6x3fQsBA
"Scottsdale, AZ",Stylish and spacious 3BR/2BA townhome near Old Town Scottsdale,Townhome,3BR/2BA,85251,target,3250,3713,463,5040,1790,6630,3380,negotiate,https://www.craigslist.org/view/d/scottsdale-stylish-and-spacious-3br-2ba/ihl8njh_8RGOCr3M6rCRQw
"Tempe, AZ",I would live here. Great Tempe location,Townhouse,3BR/2.5BA,85281,fallback,2900,3630,730,4680,1780,6240,3340,negotiate,https://www.craigslist.org/view/d/tempe-would-live-here-great-tempe/0jw5ejOU8RGFypc66B7Oew
"Saint Petersburg, FL",Furnished 3 BEDROOMS 2.5 BATH with a garage townhouse! Welcome home,Townhouse,3BR/2.5BA,33716,fallback-nearby,2950,3630,680,4680,1730,6240,3290,negotiate,https://www.craigslist.org/view/d/saint-petersburg-furnished-bedrooms-25/CATZJ-6O8RGDm7QrAimHNQ
