rank,ticker,security,weight_pct
1,912797UJ4,United States Treasury Bill 10/08/2026,33.86
2,LITE,Lumentum Holdings Inc,14.88
3,CIEN,Ciena Corp,12.67
4,COHR,Coherent Corp,12.59
5,BD761B9 TRS 090827 GS,"EOPTOLINK TECHNOLOGY INC., LTD.-SWAP-GOLD-L",9.8
6,BFFJRM7 TRS 090827 GS,"ZHONGJI INNOLIGHT CO., LTD.-SWAP-GOLD-L",9.03
7,BL5P4J3 TRS 090827 GS,"SUZHOU TFC OPTICAL COMMUNICATION CO., LTD.-SWAP-GOLD-L",6.29
8,BPXYTJ5 TRS 090827 GS,"YUANJIE SEMICONDUCTOR TECHNOLOGY CO., LTD.-SWAP-GOLD-L",5.45
9,300502 C2,Eoptolink Technology Inc Ltd,4.83
10,300308 C2,Zhongji Innolight Co Ltd,4.44
11,BD5C8C9 TRS 090827 GS,"ACCELINK TECHNOLOGIES CO,LTD.-SWAP-GOLD-L",3.92
12,FN,Fabrinet,3.32
13,300394 C2,Suzhou TFC Optical Communication Co Ltd,3.09
14,FGXXX,First American Government Obligations Fund 12/01/2031,2.99
15,3081 TT,LandMark Optoelectronics Corp,2.01
