id,parcel_number_PIN,address,city,state,postal_code,county,property_class,inventory_type,structure_type,price,price_kind,asking_price,minimum_bid,bedrooms,full_baths,half_baths,square_footage,structure_sqft,parcel_sqft,parcel_length,parcel_width,current_status,occupied,neighborhood,latitude,longitude,thumb_image_url,comments
905482,31-21-203-003-0000,930 LAKE SUPERIOR DR,Matteson,IL,60443,Cook,Commercial Land,Vacant Land,Land,9999999.0,asking,9999999.0,0.0,,,,,,80120.0,,,Acquired,,,41.508905,-87.741131,/landmgmtpub/remote/public/property/viewImage/1628782/930 Lake Superior.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
905479,31-21-201-017-0000,4900 207TH ST,Matteson,IL,60443,Cook,Commercial Land,Vacant Land,Land,900000.0,minimum_bid,,900000.0,,,,,,681817.0,,,Acquired,,,41.512431,-87.735815,https://s3.amazonaws.com/ePropertyPlus/public/defaultPhotoNotAvailable.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
920518,20-15-316-008-0000,6155 S PRAIRIE AVE,Chicago,IL,60637,Cook,Industrial Structure,Industrial Property,Industrial ,521000.0,asking,521000.0,500000.0,,,,167000,167000,69253.0,,,Acquired,No,Washington Park,41.782432,-87.61844,/landmgmtpub/remote/public/property/viewImage/313539/IMG_0283.JPG,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
1001727,29-25-201-049-0000,2315 E 170TH ST,Lansing,IL,60438,Cook,Commercial Structure,Commercial Property,Commercial,450000.0,minimum_bid,,450000.0,,,,,,124758.0,,,Acquired,,,41.5864325,-87.5588115,/landmgmtpub/remote/public/property/viewImage/1715824/IMG_20241004_145227.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
909414,16-15-118-004-0000,306 S KOLMAR AVE,Chicago,IL,60624,Cook,Industrial Land,Vacant Land,Land,300000.0,asking,300000.0,217500.0,,,,,,84741.0,,,Acquired,,Austin,41.87669,-87.739805,/landmgmtpub/remote/public/property/viewImage/1151599/DSCN6795.jpeg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
920527,16-15-118-005-0000,356 S KOLMAR AVE,Chicago,IL,60624,Cook,Industrial Land,Vacant Land,Land,300000.0,asking,300000.0,275000.0,,,,,,71183.0,,,Acquired,No,Austin,41.875881,-87.7398089,/landmgmtpub/remote/public/property/viewImage/1942316/Land.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
969377,16-22-403-032-0000,1630 S KEELER AVE,Chicago,IL,60623,Cook,Residential Land,Vacant Land,Land,279000.0,asking,279000.0,150000.0,,,,,,103335.0,,,Acquired,,North Lawndale,41.857828,-87.730552,/landmgmtpub/remote/public/property/viewImage/548010/WIN_20180425_11_43_04_Pro.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
968195,30-19-100-009-0000,1055 RIVER OAKS DR,Calumet City,IL,60409-5064,Cook,Commercial Structure,Commercial Property,Commercial,249900.0,asking,249900.0,249900.0,,,,,,7920.0,,,Acquired,,,41.6006435,-87.5505357,/landmgmtpub/remote/public/property/viewImage/1422742/IMG_1112.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
1235653,20-35-315-066-0000,834 E 87TH ST,Chicago,IL,60619.0,Cook,Commercial Structure,Commercial Property,Commercial,235500.0,minimum_bid,,235500.0,,,,,,12134.0,,,Acquired,No,Chatham,41.7368907,-87.6032135,/landmgmtpub/remote/public/property/viewImage/2275969/front view.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
999068,13-20-126-027-0000,6224 W ADDISON ST,Chicago,IL,60634,Cook,Commercial Structure,Commercial Property,Commercial,225000.0,asking,225000.0,202500.0,,,,,,3100.0,,,Acquired,,DUNNING,41.9458097,-87.7824495,/landmgmtpub/remote/public/property/viewImage/1337372/IMG_7168.jpg,"OFFERS DUE BY SEPTEMBER 24th, 2026 AT 3:00 PM, AWARD DATE OCTOBER 2nd, 2026 BY 5:00 PM. If you are interested in purchasing this parcel, submit an “Initial Application”, this will grant you access and offer instructions. NOTE: You must submit an “Initial Application” before an “Offer Application.” INITIAL APPLICATIONS RECEIVED AFTER SEPTEMBER 22nd, 2026 AT 3:00PM WILL NOT BE APPROVED."
