pin,address,city,sqft,neighborhood,ward,district,entity,delinquent,land_use_code,classification
19-26-416-069-0000,7844 S TRUMBULL AVE,CHICAGO,5444,ASHBURN,18,3,CCLBA ‐ RESIDENTIAL STRUCTURES,"$35,875.13",2-03,STRUCTURE ‐ RESIDENTIAL
20-28-308-030-0000,7652 S UNION AVE,CHICAGO,3776,AUBURN GRESHAM,6,3,CCLBA ‐ FOCUS COMMUNITY (CITY),"$12,148.51",2-11,STRUCTURE ‐ RESIDENTIAL
20-32-403-007-0000,8319 S CARPENTER ST,CHICAGO,3939,AUBURN GRESHAM,21,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$16,517.61",2-03,STRUCTURE ‐ RESIDENTIAL
20-32-417-006-0000,8521 S MAY ST,CHICAGO,3748,AUBURN GRESHAM,21,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$18,942.86",2-03,STRUCTURE ‐ RESIDENTIAL
25-04-110-023-0000,8824 S LOWE AVE,CHICAGO,4248,AUBURN GRESHAM,21,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$17,526.50",2-03,STRUCTURE ‐ RESIDENTIAL
25-05-102-016-0000,8747 S LAFLIN ST,CHICAGO,4243,AUBURN GRESHAM,21,4,CITY OF CHICAGO  ‐ MAYOR'S OFFICE,"$11,766.63",2-03,STRUCTURE ‐ RESIDENTIAL
16-04-331-038-0000,5200 W CHICAGO AVE,CHICAGO,7502,AUSTIN,37,1,CITY OF CHICAGO ‐ DEPT OF PLANNING & DEVELOPMENT,"$191,351.42",2-12,STRUCTURE ‐ MIXED USE
16-04-428-012-0000,4825 W IOWA ST,CHICAGO,2962,AUSTIN,37,1,CCLBA ‐ RESIDENTIAL STRUCTURES,"$32,762.05",2-03,STRUCTURE ‐ RESIDENTIAL
16-09-100-014-0000,5517 W CHICAGO AVE,CHICAGO,4610,AUSTIN,37,1,CITY OF CHICAGO ‐ DEPT OF PLANNING & DEVELOPMENT,"$117,615.71",2-12,STRUCTURE ‐ MIXED USE
16-09-124-017-0000,5229 W FERDINAND ST,CHICAGO,4897,AUSTIN,37,1,INDIVIDUAL INQUIRY,"$58,461.66",2-11,STRUCTURE ‐ RESIDENTIAL
16-09-219-023-0000,558 N LAVERGNE AVE,CHICAGO,3124,AUSTIN,37,1,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$25,452.98",2-11,STRUCTURE ‐ RESIDENTIAL
20-36-121-007-0000,8218 S ANTHONY AVE,CHICAGO,4060,AVALON PARK,8,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$19,345.83",2-03,STRUCTURE ‐ RESIDENTIAL
25-02-302-009-0000,9121 S DREXEL AVE,CHICAGO,3108,BURNSIDE,8,4,CCLBA ‐ RESIDENTIAL STRUCTURES,"$18,622.50",2-11,STRUCTURE ‐ RESIDENTIAL
25-02-316-032-0000,9322 S UNIVERSITY AVE,CHICAGO,3108,BURNSIDE,8,4,CCLBA ‐ RESIDENTIAL STRUCTURES,"$27,833.52",2-11,STRUCTURE ‐ RESIDENTIAL
20-33-104-023-0000,7950 S PARNELL AVE,CHICAGO,3368,CHATHAM,17,3,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$24,675.70",2-03,STRUCTURE ‐ RESIDENTIAL
19-24-204-005-0000,2541 W 63RD ST,CHICAGO,3121,CHICAGO LAWN,16,2,CCLBA ‐ COMMERCIAL/INDUSTRIAL STRUCTURES,"$36,490.13",2-12,STRUCTURE ‐ MIXED USE
19-24-418-005-0000,2515 W 69TH ST,CHICAGO,3126,CHICAGO LAWN,17,2,CCLBA ‐ COMMERCIAL/INDUSTRIAL STRUCTURES,"$33,224.86",2-12,STRUCTURE ‐ MIXED USE
