Symbol,Company,Price,MarketCap_B,Trailing_PE,Forward_PE,PEG_5yr,Price_Sales,EV_EBITDA,Operating_Margin_pct,Revenue_ttm_B,Qtr_Rev_Growth_pct,Diluted_EPS_ttm,Div_Yield_pct,Beta
ETN,Eaton Corporation plc,438.76,171.86,45.06,27.86,2.69,5.74,29.85,16.56,30.03,21.40,9.74,0.99,1.17
ABBNY,ABB Ltd (ADR),99.72,183.28,37.33,25.64,1.37,5.18,24.58,16.91,35.75,14.20,2.67,1.17,1.01
SBGSY,Schneider Electric SE (ADR),66.52,190.50,34.90,24.39,1.57,4.03,20.60,18.20,42.04,9.80,1.91,1.45,1.15
EMR,Emerson Electric,154.59,86.01,33.74,21.41,1.78,4.66,18.59,26.92,18.64,7.00,4.58,1.44,1.23
ROK,Rockwell Automation,432.89,47.44,40.00,29.41,1.88,5.35,28.49,20.97,8.97,7.90,10.82,1.29,1.51
HON,Honeywell International,212.57,67.14,8.14,22.17,3.46,1.78,6.84,20.25,38.06,4.30,26.10,1.32,0.90
VRT,Vertiv Holdings,248.78,97.58,57.34,28.25,0.85,8.65,38.30,20.36,11.48,24.10,4.46,0.10,2.08
PH,Parker-Hannifin,971.21,121.68,33.88,27.47,3.23,5.75,21.98,23.46,21.50,9.80,28.65,0.83,1.12
HUBB,Hubbell Inc,463.70,24.24,27.17,20.41,1.93,3.93,20.03,21.67,6.22,15.30,17.06,1.24,0.89
NVT,nVent Electric,162.85,26.33,45.18,25.00,1.03,5.52,25.98,18.83,4.83,52.80,3.60,0.52,1.36
